hs6_from,hs6_to,relationship
200290,200290,1:01
200310,200310,1:01
200390,200390,1:01
200410,200410,1:01
200490,200490,1:01
200510,200510,1:01
200520,200520,1:01
200540,200540,1:01
200551,200551,1:01
200559,200559,1:01
200560,200560,1:01
200570,200570,1:01
200580,200580,1:01
200591,200591,1:01
200599,200599,1:01
200600,200600,1:01
200710,200710,1:01
200791,200791,1:01
200799,200799,1:01
200811,200811,1:01
200819,200819,1:01
200820,200820,1:01
200830,200830,1:01
200840,200840,1:01
200850,200850,1:01
200860,200860,1:01
200870,200870,1:01
200880,200880,1:01
200891,200891,1:01
200893,200893,1:01
200897,200897,1:01
200899,200899,n:1
200911,200911,1:01
200912,200912,1:01
200919,200919,1:01
200921,200921,1:01
200929,200929,1:01
200931,200931,1:01
200939,200939,1:01
200941,200941,1:01
200949,200949,1:01
200950,200950,1:01
200961,200961,1:01
200969,200969,1:01
200971,200971,1:01
200979,200979,1:01
200981,200981,1:01
200989,200989,1:01
200990,200990,1:01
210111,210111,1:01
210112,210112,1:01
210120,210120,1:01
210130,210130,1:01
210210,210210,1:01
210220,210220,1:01
210230,210230,1:01
210310,210310,1:01
210320,210320,1:01
210330,210330,1:01
210390,210390,1:01
210410,210410,1:01
210420,210420,1:01
210500,210500,1:01
210610,210610,1:01
210690,210690,n:1
220110,220110,1:01
220190,220190,1:01
220210,220210,1:01
220291,220290,n:1
220299,220290,n:1
220300,220300,1:01
220410,220410,1:01
220421,220421,1:01
220422,220429,n:1
220429,220429,n:1
220430,220430,1:01
220510,220510,1:01
220590,220590,1:01
220600,220600,1:01
220710,220710,1:01
220720,220720,1:01
220820,220820,1:01
220830,220830,1:01
220840,220840,1:01
220850,220850,1:01
220860,220860,1:01
220870,220870,1:01
220890,220890,1:01
220900,220900,1:01
230110,230110,1:01
230120,230120,1:01
230210,230210,1:01
230230,230230,1:01
230240,230240,1:01
230250,230250,1:01
230310,230310,1:01
230320,230320,1:01
230330,230330,1:01
230400,230400,1:01
230500,230500,1:01
230610,230610,1:01
230620,230620,1:01
230630,230630,1:01
230641,230641,1:01
230649,230649,1:01
230650,230650,1:01
230660,230660,1:01
230690,230690,1:01
230700,230700,1:01
230800,230800,1:01
230910,230910,1:01
230990,230990,1:01
240110,240110,1:01
240120,240120,1:01
240130,240130,1:01
240210,240210,1:01
240220,240220,1:01
240290,240290,1:01
240311,240311,1:01
240319,240319,1:01
240391,240391,n:1
240399,240399,n:1
240411,240391,n:n
240411,240399,n:n
240412,382490,n:1
240419,240399,n:n
240419,382490,n:n
240491,210690,n:1
240492,382490,n:1
240499,382490,n:1
250100,250100,1:01
250200,250200,1:01
250300,250300,1:01
250410,250410,1:01
250490,250490,1:01
250510,250510,1:01
250590,250590,1:01
250610,250610,1:01
250620,250620,1:01
250700,250700,1:01
250810,250810,1:01
250830,250830,1:01
250840,250840,1:01
250850,250850,1:01
250860,250860,1:01
250870,250870,1:01
250900,250900,1:01
251010,251010,1:01
251020,251020,1:01
251110,251110,1:01
251120,251120,1:01
251200,251200,1:01
251310,251310,1:01
251320,251320,1:01
251400,251400,1:01
251511,251511,1:01
251512,251512,1:01
251520,251520,1:01
251611,251611,1:01
251612,251612,1:01
251620,251620,1:01
251690,251690,1:01
251710,251710,1:01
251720,251720,1:01
251730,251730,1:01
251741,251741,1:01
251749,251749,1:01
251810,251810,1:01
251820,251820,1:01
251910,251910,1:01
251990,251990,1:01
252010,252010,1:01
252020,252020,1:01
252100,252100,1:01
252210,252210,1:01
252220,252220,1:01
252230,252230,1:01
252310,252310,1:01
252321,252321,1:01
252329,252329,1:01
252330,252330,1:01
252390,252390,1:01
252410,252410,1:01
252490,252490,1:01
252510,252510,1:01
252520,252520,1:01
252530,252530,1:01
252610,252610,1:01
252620,252620,1:01
252800,252800,1:01
252910,252910,1:01
252921,252921,1:01
252922,252922,1:01
252930,252930,1:01
253010,253010,1:01
253020,253020,1:01
253090,253090,1:01
260111,260111,1:01
260112,260112,1:01
260120,260120,1:01
260200,260200,1:01
260300,260300,1:01
260400,260400,1:01
260500,260500,1:01
260600,260600,1:01
260700,260700,1:01
260800,260800,1:01
260900,260900,1:01
261000,261000,1:01
261100,261100,1:01
261210,261210,1:01
261220,261220,1:01
261310,261310,1:01
261390,261390,1:01
261400,261400,1:01
261510,261510,1:01
261590,261590,1:01
261610,261610,1:01
261690,261690,1:01
261710,261710,1:01
261790,261790,1:01
261800,261800,1:01
