hs6,hts8,n_h8,s_h8_in_h6,w8_main,W6
040891,04089100,1,1,104589,104589
040899,04089900,1,1,7428029,7428029
040900,04090000,1,1,416002822,416002822
041000,04100000,1,1,19684221,19684221
050100,05010000,1,1,1226473,1226473
050210,05021000,1,1,4463838,4463838
050290,05029000,1,1,1219631,1219631
050400,05040000,1,1,154951345,154951345
050510,05051000,1,1,207858563,207858563
050590,05059020,2,0.20623869247544274,390772,1894756
050590,05059060,2,0.7937613075245572,1503984,1894756
050610,05061000,1,1,11190,11190
050690,05069000,1,1,11659568,11659568
050710,05071000,1,1,239464,239464
050790,05079000,1,1,1300872,1300872
050800,05080000,1,1,13438487,13438487
051000,05100020,2,0.003017690685634872,16924,5608262
051000,05100040,2,0.9969823093143652,5591338,5608262
051110,05111000,1,1,26507114,26507114
051191,05119100,1,1,39314407,39314407
051199,05119920,5,0.5524858364342509,229835440,416002411
051199,05119930,5,0.3821109825250508,158959090,416002411
051199,05119933,5,0.008867333223220189,3688832,416002411
051199,05119936,5,2.2661647506653514e-4,94273,416002411
051199,05119940,5,0.05630923134241162,23424776,416002411
060110,06011015,7,0.3506186897668429,52013729,148348421
060110,06011030,7,0.04062229283856011,6026253,148348421
060110,06011045,7,0.2011484503768328,29840055,148348421
060110,06011060,7,0.08537963474515176,12665934,148348421
060110,06011075,7,0.012350572979809472,1832188,148348421
060110,06011085,7,0.005351428715240589,793876,148348421
060110,06011090,7,0.3045289305775624,45176386,148348421
060120,06012010,2,0.00500620681763295,86359,17250386
060120,06012090,2,0.994993793182367,17164027,17250386
060210,06021000,1,1,78751430,78751430
060220,06022000,1,1,14571670,14571670
060230,06023000,1,1,2379124,2379124
060240,06024000,1,1,12526762,12526762
060290,06029020,6,0.2591024636234856,65323351,252113971
060290,06029030,6,0.06632926344252457,16722534,252113971
060290,06029040,6,0.06021732924907997,15181630,252113971
060290,06029050,6,0.007632302138464195,1924210,252113971
060290,06029060,6,0.32761138810510426,82595408,252113971
060290,06029090,6,0.2791072534413414,70366838,252113971
060311,06031100,1,1,380331028,380331028
060312,06031230,2,0.3234607054656907,26701547,82549585
060312,06031270,2,0.6765392945343093,55848038,82549585
060313,06031300,1,1,15745176,15745176
060314,06031400,1,1,128928959,128928959
060315,06031500,1,1,33922515,33922515
060319,06031901,1,1,318745534,318745534
060390,06039000,1,1,7931332,7931332
060420,06042000,1,1,71989875,71989875
060490,06049010,3,0.030048734486995347,1649433,54891929
060490,06049030,3,0.6613127223129651,36300731,54891929
060490,06049060,3,0.3086385432000395,16941765,54891929
070110,07011000,1,1,27214950,27214950
070190,07019010,2,0.1387313998145971,14775185,106502097
070190,07019050,2,0.861268600185403,91726912,106502097
070200,07020020,3,0.5776503864664112,1078822523,1867604607
070200,07020040,3,0.09178542522196723,171418883,1867604607
070200,07020060,3,0.3305641883116216,617363201,1867604607
070310,07031020,3,0.017555969845463204,4735307,269726312
070310,07031030,3,2.4940095573619824e-5,6727,269726312
070310,07031040,3,0.9824190900589632,264984278,269726312
070320,07032000,1,1,144340206,144340206
070390,07039000,1,1,11635052,11635052
070410,07041020,3,0.4784156658317819,6810103,14234699
070410,07041040,3,0.42514955883506916,6051876,14234699
070410,07041060,3,0.09643477533314895,1372720,14234699
070420,07042000,1,1,16820512,16820512
070490,07049020,2,0.12328560166928927,20400150,165470661
070490,07049040,2,0.8767143983307107,145070511,165470661
070511,07051120,2,0.40616235213756413,35296207,86901720
070511,07051140,2,0.5938376478624359,51605513,86901720
070519,07051920,2,0.33437392185973674,26155424,78222081
070519,07051940,2,0.6656260781402632,52066657,78222081
070521,07052100,1,1,4491344,4491344
070529,07052900,1,1,3365585,3365585
070610,07061005,4,0.05514714801152573,3775873,68469053
070610,07061010,4,0.03319715843010126,2272978,68469053
070610,07061020,4,0.9064610985637556,62064533,68469053
070610,07061040,4,0.005194594994617495,355669,68469053
070690,07069020,3,0.7109425565770362,20087881,28255280
070690,07069030,3,0.195414768496366,5521499,28255280
070690,07069040,3,0.0936426749265978,2645900,28255280
070700,07070020,4,0.32643723269839225,160630226,492070787
070700,07070040,4,0.20004516342076611,98436381,492070787
070700,07070050,4,0.3569575570028708,175648386,492070787
070700,07070060,4,0.11656004687797084,57355794,492070787
